Course_Name;University;Difficulty_Level;Course_Description;Skills;category_id
Agile Projects: Defining Epics and Mapping Value with Taiga;Coursera Project Network;Beginner;By the end of this guided project, you will be fluent in identifying and creating Epics for Agile projects based on previous high-level analyses and research data. This will enable you to identify and map the value and features required for new products and services.   Furthermore, it is essential for generating positive results for your business venture. This guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Taiga to shape the development roadmap of products and services.   We will practice critically linking our stories to thematic elements and stages of the customer journey with the proposed product and service.;Mapping  Project Management  presentation  Product Development  customer experience  agile management  Web Design  Leadership and Management  project  cost benefit analysis business business-strategy;0
Understanding Financial Markets;University of Geneva;Beginner;In this course, you will learn what the main financial markets and their characteristics are as well as how they are linked to the economy.   Our very diversified team of experts will start by teaching you how the price of stocks and bonds are computed and why they move while you will become increasingly aware of the notion of risk and why it matters when measuring an investment's performance. The focus will then move to less popular markets such as gold, emerging markets, real estate, hedge funds and private markets. These will be analyzed with an emphasis on their particular risks and return opportunities as well as how they can help in building efficient portfolios. Finally, the policies of central banks and their impact on financial markets will be presented to you along with the link between the economy and the price of financial assets.  All along these different steps, experts from UBS, our corporate partner, will show you how the concepts you just acquired are effectively applied in a leading global bank. This focus on practicality means you will not only understand what is going on in global financial markets but also start to figure out how you can use them to achieve financial goals, be it a client's or your own.  Course Director and main teaching contributor: Dr. Michel Girardin, Lecturer in Macro-Finance, University of Geneva;Risk  investment  interest  stock  bond market  Finance  financial markets  Leadership and Management  market (economics)  equity (finance) business finance;0
Supply Chain Operations;Rutgers the State University of New Jersey;Beginner;Have you ever wondered how products and services are created exactly the same thousands of times over? And how companies are able to smooth out operations to manufacture efficiently, effectively, and without any waste? How is such precision possible? The answer lies at the heart of operations. In the Supply Chain Operations course, we introduce and apply essential process improvement tools to achieve perfection. After completing this course, you will be able to apply the Six Sigma methodology for process improvement. You will demonstrate that you understand the basic tenets of the Lean philosophy that enables manufacturers to eliminate waste and make processes more efficient.  Finally, you will be able to apply the tools that you just gained to improve a process of your own. This is an introductory course designed to provide you with a start on your learning journey in operations. You do not need to have any background in operations, but it would be beneficial if you had a basic understanding of business concepts, a working knowledge of spreadsheets, and ideally have mastered the Supply Chain Logistics course. Join me and we will learn together about operations!;supply chain  Trigonometric Integral  Operations Management  inventory  Leadership and Management  six sigma  stock  lean six sigma  thought  chaining business business-strategy;0
The Wonders and Challenges of Bible Education;Hebrew University of Jerusalem;Advanced;Biblical figures play a central role in understanding the richness of the text and provide extraordinary educational opportunities for engaging students in meaningful discourse about its relevance for their lives. This course will focus on examining and analyzing Biblical characters, and give you access to different pedagogical techniques of teaching Bible in the classroom. We will learn about the challenges facing the Bible teacher today, as well as different philosophical, developmental, social, and psychological approaches to addressing those challenges. We will also learn different approaches to examining Biblical stories, including: exegetical, hermeneutic, historical, literary, and gender theory. We will examine and analyze the pedagogic skills to implement these different approaches inside the classroom. Weï¿½ll also cover analysis of different Biblical characters and stories, and hear from some experts in the field of Bible studies and Bible education.  Using this knowledge, you will gain skills to use inside the classroom, and be able to examine and analyze different educational programs that teach Bible in order to see which best suit your approach and educational setting. If you want to teach Bible, this course is a helpful guide and overview to different approaches and techniques for doing so.  Learning Outcomes: On successful completion of this module, students should be able to: 1. Students will appreciate challenges in teaching classical Jewish texts to school students 2.  Students will acquire certain exegetical and literary skills to analyze selected Biblical passages. 3. Students will be exposed to a range of different approaches to presenting Biblical characters. 4. Students will examine a range of relevant developmental, social, and psychological theories that impact the teaching of the Bible. 5. Students will examine a range of educational programs that teach the Bible and will acquire tools to critically analyze these programs. 6. Students will produce a course project that will reflect their understanding of the various issues raised.;gift  blame  smile  Causality  skepticism  law  hopefully  resource  belief  faith social-sciences education;1
Create Online Employee Onboarding Course with Eduflow;Coursera Project Network;Beginner;This course will walk you through how to create an online employee onboarding course. By the end of this project, you will create an Eduflow course to assist in your employee onboarding process. Eduflow is a free, easy-to-use online course builder that allows you to build an interactive learning experience for your team. In this project, you will open an Eduflow account and begin creating an interactive employee onboarding course. You will then learn how to mix and match different learning activities including content, submissions, and videos. Furthermore, you will learn how to invite employees to the course, keep track of their progress, and gain valuable insight and feedback from your learners. The onboarding process is extremely important in developing your company brand and culture. Using Eduflow allows you to create an innovative, customized, and engaging onboarding experience for your employees.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;Business  project  onboarding  brand  Human Resources  Deep Learning  flow network  employment  Culture  interactive learning business leadership-and-management;0
Project: Writing a Research Paper;University of California, Irvine;Advanced;Welcome to the capstone project for the Academic English: Writing Specialization! This project lets you apply everything youï¿½ve learned and gives you the practice you need for college classes by having you write a research paper.  You'll have several due dates throughout the capstone to help you stay on schedule.  In this capstone project, you will:  - conduct research on an academic topic of your choice  - create an outline to plan out your essay  - write a short annotated bibliography to help you evaluate your sources  - write a 7-8 page research paper  - use source material correctly with MLA format;gratitude  english language  academic writing  Writing  psychology  essay writing  english grammar  presentation  first draft of a report on the edvac  grammar language-learning learning-english;1
Create Keyboard Movement Mechanics with C,  in Unity;Coursera Project Network;Beginner;In this two-hour, project-based course, you'll learn how to make your game's character move, jump, sneak and run using different keys on your keyboard. You'll also learn how to set up the camera to have it follow your character when it moves around your game's environment, and enable it to zoom in and out for better player experience.;video game development  english language  Software Engineering  Mechanical Engineering  c sharp (programming language)  physics  Machine Learning  Mathematics  project  c++ computer-science software-development;0
Astronomy: Exploring Time and Space;University of Arizona;Beginner;This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.;energy  Solar Systems  astronomy  physics  observation  verse protocol  theory of relativity  astrobiology  history  observational astronomy physical-science-and-engineering physics-and-astronomy;0
IS/IT Governance;University of Minnesota;Intermediate;Firms make significant investments in IT. In the IS/IT Governance course we will discuss how to govern IT to make sure that the IT investments contribute to organizational goals and strategies.   Firms need to formally evaluate significant IT investments. IT investments are also risky, so firms need to consider the risk associated with the investments to appropriately evaluate the investment. We will discuss how to evaluate IT investments.  Firms usually make multiple IT investments in a given year. In this course we will discuss how to evaluate a portfolio of IT investments. Firms need a mechanism to charge users for the IT investments made to encourage prudent consumption of IT resources. We will discuss different mechanisms for charging for IT that incents users to spend IT dollars wisely.  Finally, IT investments are made to generate value for the firm. This requires that employees actually use the new IT systems that is developed. Thus, in the IS/IT Governance course we will discuss strategies to make sure that users use the new system so that the firm derives value from its IT investments.;evaluation  enterprise resource planning  adoption  Strategy  Leadership and Management  sap erp  investment  investment decisions  Risk  Change Management information-technology support-and-operations;2
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep;Autodesk;Intermediate;Prove to potential employers that youï¿½re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: Inventor for Mechanical Design exam.  Advances in technology are changing the way we work, and the job skills demanded by industry. Itï¿½s essential for professionals to be able to demonstrate their knowledge and skills in order to be competitive and meet workforce standards. In this course, weï¿½ll explore the professional skills defined for the Autodesk Certified Professional: Inventor for Mechanical Design exam. Through a series of lessons, practice exercises, challenge assignments, and assessments, weï¿½ll learn and apply the Autodesk Inventor skills covered in the exam to boost your confidence and technical skills in preparation for the exam. At the end of the course, you will have the opportunity to test your knowledge by taking the practice exam that accompanies the course. Itï¿½s all about practice and preparation.  About the Autodesk Certified Professional: Inventor for Mechanical Design exam:  The Autodesk Certified Professional: Inventor for Mechanical Design exam is designed for industry professionals who possess Advanced skills and can solve complex challenges in workflow and design. A certification at this level demonstrates a comprehensive skill set that provides an opportunity for individuals to stand out in a competitive professional environment. This type of experience typically comes from having worked with the software on a regular basis for at least 2 years, equivalent to approximately 400 hours (minimum) - 1200 hours (recommended), of real-world Autodesk software experience.   The Autodesk Certified Professional (ACP) certifications exams can be taken at a Pearson VUE Testing Center or through OnVUE, Pearson VUEï¿½s online proctored environment. Candidates are given 120 minutes to complete a certification exam and should review the testing center polices and requirements before scheduling. Ready to take the exam? Schedule to take the exam online or find a testing center near you on pearsonvue.com/autodesk.;autodesk inventor  Java Programming  Mechanical Design  Combination  Autodesk  path (variable)  inequality (mathematics)  .properties  Mechanical Engineering  computer-aided design physical-science-and-engineering mechanical-engineering;2
Management Skills for International Business;University of London;Advanced;This course focuses on a range of management techniques. Youï¿½ll discover the main skills and competencies of effective leaders, and how to distinguish between management and leadership. The course will cover team dynamics, how to build effective relationships, key motivation theories, and how to use communication to best effect.  This course forms part of a specialisation from the University of London designed to help you develop and build the essential business, academic, and cultural skills necessary to succeed in international business, or in further study.   If completed successfully, your certificate from this specialisation can also be used as part of the application process for the University of London Global MBA programme, particularly for early career applicants. If you would like more information about the Global MBA, please visit https://mba.london.ac.uk/.  This course is endorsed by CMI;nonverbal communication  Building Effective Relationships  performance  Communication  Leadership and Management  motivation  Marketing Management  employee motivation  leadership  Change Management business leadership-and-management;1
Business Strategy;University of Illinois at Urbana-Champaign;Intermediate;In this course you will learn how organizations create, capture, and maintain value, and how it is fundamental for sustainable competitive advantage. You will be able to better understand value creation and capture, and learn the tools to analyze both competition and cooperation from a variety of perspectives, including the industry level (e.g., five forces analysis), and the firm level (e.g., business models and strategic positioning).   ï¿½\tUnderstand how managers coordinate different functional areas, resources, and systems inside a company and align them with the external environment to enhance overall performance ï¿½\tKnowledge of strategic management tools and frameworks, and apply them to real business contexts Process diverse business and industry information to diagnose strategic issues, evaluate strategic alternatives, and formulate a coherent and actionable strategic plan ï¿½\tHow to think like a CEO, entrepreneur, or general manager.  This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.;leadership  Business Strategy  Strategic Analysis  Strategy  Leadership and Management  strategic thinking  analysis  competitiveness  modeling  strategic management business business-strategy;2
Tricky American English Pronunciation;University of California, Irvine;Intermediate;In this course, youï¿½ll practice the sounds of American English that might sometimes be confusing. You'll practice both consonant and vowel sounds. Youï¿½ll also learn about the things that give English its special ï¿½music;ï¿½ such as how to stress the right syllable in a word, how to make your voice go up and down in a natural-sounding melody, and how to naturally connect sounds and words. Learning these things will help you speak more clearly and make sure that others can understand what you're saying. This course is useful for English language learners who want to improve pronunciation of American English for better communication. Note that access to all of the lectures and handouts are free to anyone, but the graded assignments and quizzes are only available in the paid version of the course. You will need to submit recordings of your own pronunciation for graded assignments.;2
Instructional Design Foundations and Applications;University of Illinois at Urbana-Champaign;Intermediate;This course, Instructional Design Foundations, introduces learners to the conceptual and theoretical foundations of instructional design as well as the analysis aspect of instructional systems design in order to create an innovative instructional solution to performance problems in organizations. This particular course also introduces learners to concepts covered in the Instructional Design MasterTrack Certificate. Upon successful completion of this course, you will be able to: ?Describe the major concepts of instructional systems design  ?Describe the major learning and instructional theories ?Describe the process of instructional design and instructional design models ?Describe various analysis activities for instructional design;teaching  c++  education  behaviorism  educational psychology  Economics  analysis  climate change  instructional design  training and development social-sciences education;2
Analysis for Business Systems;University of Minnesota;Beginner;Most often, organizations acquire information systems as part of a larger focus on process improvement and efficiency. These organizations need to invest in the right system to meet their needs: right functionality, right size, and for the right price. The business systems analyst role in most organizations is responsible for translating the organizationï¿½s needs into requirements, which are then used to select or build the right system for the organization.  During the Analysis for Business Systems course, youï¿½ll learn about the standard model for systems development: the systems development lifecycle, or SDLC. You will learn how to read and even create the specific deliverables that business systems analysts prepare during the SDLC.  These documents provide guidance to the organization as they determine whether to build or buy and configure a system that meets the organizationï¿½s needs.;Business Analysis  business process  test case  use case  dataflow  analysis  feasibility study  flow network  sap erp  process information-technology data-management;0
Digital Transformation of Financial Services - Capstone Project;Copenhagen Business School;Advanced;In this capstone project course, we ask YOU to apply everything you have learned in this specialization to analyze a real world company and to develop a digital transformation strategy for this company.   You will have the possibility to choose between four different case companies, that varies in size (from small start-up to large financial service providers), industry (banking, financial trading, insurance) and geographical location.   For one of these -- only one -- you will create a concise recommendation of a strategy to leverage the digital transformation of financial services. To do this well, you will need to summon ideas appropriately from the earlier three courses in the specialization.;financial services  Strategy  Finance  project  insurance  FinTech  financial regulation  Banking  Microsoft Excel  Innovation business business-strategy;1
The Unix Workbench;Johns Hopkins University;Intermediate;Unix forms a foundation that is often very helpful for accomplishing other goals you might have for you and your computer, whether that goal is running a business, writing a book, curing disease, or creating the next great app. The means to these goals are sometimes carried out by writing software. Software canï¿½t be mined out of the ground, nor can software seeds be planted in spring to harvest by autumn. Software isnï¿½t produced in factories on an assembly line. Software is a hand-made, often bespoke good. If a software developer is an artisan, then Unix is their workbench. Unix provides an essential and simple set of tools in a distraction-free environment. Even if youï¿½re not a software developer learning Unix can open you up to new methods of thinking and novel ways to scale your ideas.   This course is intended for folks who are new to programming and new to Unix-like operating systems like macOS and Linux distributions like Ubuntu. Most of the technologies discussed in this course will be accessed via a command line interface. Command line interfaces can seem alien at first, so this course attempts to draw parallels between using the command line and actions that you would normally take while using your mouse and keyboard. Youï¿½ll also learn how to write little pieces of software in a programming language called Bash, which allows you to connect together the tools weï¿½ll discuss. My hope is that by the end of this course you be able to use different Unix tools as if theyï¿½re interconnecting Lego bricks.;command-line interface  github  linux console  bash (unix shell)  makefile  unix  Cloud Computing  Shell Commands  unix shells  shell script data-science machine-learning;2
Implementing Hangman Game Using Basics of Python 3;Coursera Project Network;Beginner;In this 1-hour long project-based course, you will learn how to get input from the user and then display it in a separate line and use different data types to store the variables in them. You will also be able to use the if conditions to let the program make decisions whether the player guessed a correct character or not and keeping track that the number of turns is not zero. In addition, you will be able to implement the definite type of loops, that will be used to continue the game. By the end of the project, you will get to know and implement recursive function, that will help having a more user friendly game.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;usability  recursive function  Computer Programming  web service  video game development  recursion  project  Machine Learning  Python Programming  euler's totient function computer-science software-development;0
Disinformation, Misinformation, and Fake News Teach-Out;University of Michigan;Beginner;At a time when information can be instantaneously and globally communicated, the threat of consuming misleading or false information looms large. Unverified digital information can sway public beliefs about politics, health, science, and current events, and can influence how people perceive differing opinions, experiences, and cultures. Global citizens have to navigate an increasing reliance on social media for critical facts, huge amounts of ï¿½fake newsï¿½ online, and the consequences of disinformation and misinformation in daily digital life. In this Teach-Out, you will learn how to navigate this digital information landscape, identify fake news, and gain critical skills in media and information literacy.   In this Teach-Out, you will: Understand the history of terms and concepts like ï¿½disinformation;ï¿½ ï¿½misinformationï¿½ and ï¿½fake newsï¿½ Identify different types of disinformation and how it's transmitted and received Evaluate your own habits of media consumption and reactions when presented with novel information Develop strategies to combat disinformation in your own life;0
Collaborative Robot Safety: Design & Deployment;The State University of New York;Beginner;As robots evolve and increasingly interact with humans, enhancing the safety of personnel working with these ï¿½collaborative robotsï¿½ (cobots) is vital. This course equips you to assess the safety of a collaborative robot workcell and prevent the chances of injury or harm. It imparts industry-endorsed safety standards, technical report recommendations and best practices from the International Organization for Standardization (ISO), Robotic Industries Association (RIA) and Occupational Safety and Health Administration (OSHA). Learners are introduced to similarities and differences between traditional robots, cobots and conventional machinery before delving into risk assessments, causes of robot accidents and collaborative applications. Material also includes key design techniques for reducing collision forces and a methodology for safety testing.  Main concepts are delivered through videos, demos and hands-on exercises. To learn more, please watch the overview video by copying and pasting the following link into your web browser: https://www.youtube.com/watch?v=j-NU710WjM0.;accident  service robots  Spot Welding  Welding  Collaboration  robotics  safety  Chemical Engineering  measurement  occupational safety and health administration physical-science-and-engineering mechanical-engineering;0
Digital Thread: Components;The State University of New York;Beginner;This course will help you recognize how the digital thread is the backbone of the digital manufacturing and design (DM&D) transformation, turning manufacturing processes from paper-based to digital-based. You will have a working understanding of the digital thread ï¿½ the stream that starts at product concept and continues to accumulate information and data throughout the productï¿½s life cycle ï¿½ and identify opportunities to leverage it.   Gain an understanding of how the right information, in the right place, at the right time should flow. This is one of the keys to unlocking the potential of a digital design process. Acknowledging this will enable you to be more involved in a productï¿½s development cycle, and to help a company become more flexible.   Main concepts of this course will be delivered through lectures, readings, discussions and various videos.   This is the second course in the Digital Manufacturing & Design Technology specialization that explores the many facets of manufacturingï¿½s ï¿½Fourth Revolution;ï¿½  aka Industry 4.0, and features a culminating project involving creation of a roadmap to achieve a self-established DMD-related professional goal.  To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA;0
The Strategy of Content Marketing;University of California, Davis;Beginner;This course is a partnership between the leading content marketing authority, Copyblogger, and UC Davis Continuing and Professional Education. In this course, you will learn the core strategies content marketers use to acquire and retain customers profitably. Specifically, you will learn how to develop, organize and implement a content marketing strategy, analyze and measure the effectiveness of content marketing, write compelling copy, use a strategic framework when writing, and build your professional brand and authority through content marketing. You will also learn how to put the ideas presented to you into action and build your own personal brand through content marketing.;Marketing  Writing  content strategy  Marketing Content Development  content marketing  Marketing Copy  Strategy  Content Development  Leadership and Management  marketing strategy business marketing;0
Creating Cutscenes in Unity;Unity;Advanced;Welcome to Creating Cutscenes in Unity, the fifth course in the Unity Certified 3D Artist Specialization from Unity Technologies.  The courses in this series will help you prepare for the Unity Certified 3D Artist exam, the professional certification for entry- to mid-level Unity artists. 3D artists are critical to the Unity development pipeline. They are a bridge between the programmers writing the application code and the designers or art directors who define the applicationï¿½s aesthetics and style. In these courses, you will be challenged to complete realistic art implementation tasks in Unity that are aligned to the topics covered on the exam.  In course 5, you will continue your work on the sci-fi themed 3D adventure game and create an animated cutscene for the game. Youï¿½ll construct an environment for the cutscene from the gameï¿½s assets, manage LOD groups for optimal graphics performance, add particle effects, block out the cameras that will capture the action, and finally animate the cameras and objects to generate the scene. Oh, and for those players that just canï¿½t sit through cutscenes, youï¿½ll wire up a ï¿½skipï¿½ button so that they can jump into the action.  This is an intermediate course, intended for people who are ready for their first paying roles as Unity 3D artists, or enthusiasts who would like to verify their skills against a professional standard. To succeed, you should have at least 1-2 years of experience implementing 3D art in Unity. You should be proficient at importing assets into Unity from Digital Content Creation (DCC) tools, prototyping scenes, working with lighting, and adding particles and effects. You should also have a basic understanding of 2D asset management, animation, and working with scripts. You should have experience in the full product development lifecycle, and understand multi-platform development, including for XR (AR and VR) platforms.;Product Development  finite-state machine  snappy (package manager)  storyboarding  computer animation  sprite (computer graphics)  mathematical optimization  video game development  particle system  art computer-science design-and-product;1
Classical Cryptosystems and Core Concepts;University of Colorado System;Intermediate;Welcome to Introduction to Applied Cryptography.  Cryptography is an essential component of cybersecurity. The need to protect sensitive information and ensure the integrity of industrial control processes has placed a premium on cybersecurity skills in todayï¿½s information technology market.  Demand for cybersecurity jobs is expected to rise 6 million globally by 2019, with a projected shortfall of 1.5 million, according to Symantec, the worldï¿½s largest security software vendor. According to Forbes, the cybersecurity market is expected to grow from $75 billion in 2015 to $170 billion by 2020. In this specialization, you will learn basic security issues in computer communications, classical cryptographic algorithms, symmetric-key cryptography, public-key cryptography, authentication, and digital signatures. These topics should prove especially useful to you if you are new to cybersecurity Course 1, Classical Cryptosystems, introduces you to basic concepts and terminology related to cryptography and cryptanalysis. It is recommended that you have a basic knowledge of computer science and basic math skills such as algebra and probability.;hashing  cryptographic hash function  Cryptography  cryptosystem  key size  hash function  frequency analysis  cipher  euler's totient function  cryptanalysis computer-science computer-security-and-networks;2
Introduction to Game Design;California Institute of the Arts;Advanced;Welcome! This course is an introduction to the primary concepts of gaming, and an exploration of how these basic concepts affect the way gamers interact with our games. In this course you will understand what defines a ï¿½gameï¿½ and the mechanics and rules behind different types of games. Through four linked assignments you'll learn ways to create and describe a game concept, and specifically what makes a compelling game. This course focuses on the conceptual underpinnings of games, and all assignments can be completed with a pencil and paper ï¿½ no previous programming knowledge is required.;software design description  balance (game design)  video game development  gameplay  documents  game mechanics  game design  game testing  video game design  game design document arts-and-humanities music-and-art;1
General Academic English;Tsinghua University;Intermediate;Do you want to read and write better in English? Welcome to our course. The course consists of 6 units with different topics: art, man and nature, social issues, engineering and technology, psychology, economics and management. From this course, you will have a good knowledge of general academic English learning skills. We invite you to learn with our teachers and friends from different countries in the videos. Are you ready? Letï¿½s go!;man  education  harmony  latex  english language  academic writing  english grammar  psychology  art  listening language-learning learning-english;2
Matrix Methods;University of Minnesota;Intermediate;Mathematical Matrix Methods lie at the root of most methods of machine learning and data analysis of tabular data.  Learn the basics of Matrix Methods, including matrix-matrix multiplication, solving linear equations, orthogonality, and best least squares approximation.   Discover the Singular Value Decomposition that plays a fundamental role in dimensionality reduction, Principal Component Analysis, and noise reduction.  Optional examples using Python are used to illustrate the concepts and allow the learner to experiment with the algorithms.;Algebra  linear least squares  linear map  Linear Algebra  least squares  system of linear equations  Singular Value Decomposition  orthogonality  matrices  linear equation math-and-logic math-and-logic;2
Build an App in Android Studio using Resources;Coursera Project Network;Beginner;In this project you will build an Android app with images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). You will use the java programming language and will be given an explanation of the usefulness of using resources. In different parts of the res (resources) directory of your Android Studio project you will put images, create strings, and create a string array and all of these will be accessible for all appropriate widgets in your app. This app will have a piece of text (from the strings file) asking the user to select the name of an author from a spinner (a type of drop down menu where the user selects from a set of options - from the strings file). There will be an image (ImageView) below the spinner which will change (from the drawable directory) to match whichever author the user selects. Beneath this will be a piece of text (TextView) with the name of a book and the year it was published (from the strings file) which will change to match the selected author. Finally, there will be another piece of text (TextView) which will contain an appropriate quote (from the strings file) from the named book  When the user closes the app the program will remember the final choice made by the user in their previous visit. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities;android studio  java (software platform)  upload  project  drop-down list  Computer Programming  Android Development  download  interfaces  Java Programming computer-science mobile-and-web-development;0
Global Warming I: The Science and Modeling of Climate Change;The University of Chicago;Advanced;This class describes the science of global warming and the forecast for humansï¿½ impact on Earthï¿½s climate. Intended for an audience without much scientific background but a healthy sense of curiosity, the class brings together insights and perspectives from physics, chemistry, biology, earth and atmospheric sciences, and even some economicsï¿½all based on a foundation of simple mathematics (algebra).;methane  modeling  climate change  energy  chemistry  Greenhouse Gas  carbon  carbon cycle  global  f.lux physical-science-and-engineering environmental-science-and-sustainability;1
Analytic Combinatorics;Princeton University;Advanced;Analytic Combinatorics teaches a calculus that enables precise quantitative predictions of large combinatorial structures.ï¿½This course introduces the symbolic method to derive functional relations among ordinary, exponential, and multivariate generating functions, and methods in complex analysis for deriving accurate asymptotics from the GF equations.  All the features of this course are available for free. It does not offer a certificate upon completion.;prior probability  analytics  Combinatorics  Analytic Combinatorics  recursion  euler's totient function  the symbolic  complex analysis  symbolic method  approximation math-and-logic math-and-logic;1
Planned Giving;University of California, Davis;Advanced;In this comprehensive overview of planned giving, youï¿½ll gain an introduction to the basic terminology and concepts in the field as well as an overview of each planned giving vehicle. Learn to identify and assess prospective donors, recognize planned giving benefits to your donors, match a donorï¿½s interests and needs with the appropriate planned giving options, and structure a successful solicitation. Youï¿½ll understand the importance of administration of planned gifts to ensure compliance with policies and fulfillment of obligations to the donor. Apply your knowledge by developing a multi-step donor strategy and a marketing strategy, working on case studies, networking, and analyzing success factors.;capital structure  acceptance  operating budget  fundraising  Benefits  tax deduction  Taxes  gift  marketing plan  Planning business business-strategy;1
Foundations of Teaching for Learning: Planning for Teaching and Learning;Commonwealth Education Trust;Intermediate;The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed.   This course will help you consider how to develop appropriate learning goals for individual and groups of students. You will learn how to plan learning activities to engage your students in ways that will achieve these goals.  Enhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter.;child development  assessment for learning  teaching  Adult Education  training and development  education  learning to learn  early human development  adolescence  human development social-sciences education;2
Particle Dynamics;Korea Advanced Institute of Science and Technology(KAIST);Beginner;This course teaches dynamics, one of the basic mechanics subjects of Mechanical Engineering. Students would be able to organize their knowledge about force and motion, work-energy, impulse-momentum in view of Newton's 2nd law and its integration over time and displacement. The Engineering Dynamics consists of two parts: particle dynamics and rigid body dynamics. This is the first part of the dynamics: Particle dynamics class will consist of lecture videos, which are about 15 min length (or a bit longer). These contain a couple of practice problem solving. There will also be standalone homeworks that are not part of video lectures, and a final exam.;law  Mechanical Engineering  Integral  Angular  physics  linearity  flow network  energy  chemistry  lecture physical-science-and-engineering mechanical-engineering;0
Business English: Marketing and Sales;Arizona State University;Advanced;If you work in marketing, sales, or advertising, you already know that effective communication is a requirement. This can be even more difficult when expressing your ideas in a persuasive manner in English.  In this course, you will learn to use English more efficiently while joining successful global professionals around the world. Develop your skills along with authentic characters that work in marketing and also work hard to improve their communication skills. Learn from your successes and failures, reflect on your own style, strengths, and improvement areas. After taking this course, you will be able to: ï¿½      Express your ideas through efficient emails, reports and persuasive presentations ï¿½      Learn words and phrases related to market research, branding, direct marketing, advertising costs, etc. ï¿½      Get instant feedback about the efficiency of your business communication skills in English from sales and marketing professionals from around the world ï¿½      Become part of a global community of business professionals who are developing their English communication skills;Sales Strategy  marketing collateral  Communication  Marketing  english language  Strategy  sales presentation  language  Sales  presentation language-learning learning-english;1
Product Design: Designing a modern table lamp using SketchUp;Coursera Project Network;Beginner;In this 1 hour long project, you will learn how to conduct a complete research on the basic dimensions of a Table Lamp, design the Table Lamp using the right measurements, Render the design, add visual elements and create a scene suitable for it.   Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.;sketchup  lamp (software bundle)  Web Design  Graphic Design  Graphics Software  3d graphics software  rendering (computer graphics)  Product Design  Computer Graphics  3d computer graphics computer-science design-and-product;0
The Science of Well-Being;Yale University;Intermediate;In this course you will engage in a series of challenges designed to increase your own happiness and build more productive habits. As preparation for these tasks, Professor Laurie Santos reveals misconceptions about happiness, annoying features of the mind that lead us to think the way we do, and the research that can help us change. You will ultimately be prepared to successfully incorporate a specific wellness activity into your life.  THE SCIENCE OF WELL BEING WAS PRODUCED IN PART DUE TO THE GENEROUS FUNDING OF THE DAVID F. SWENSEN FUND FOR INNOVATION IN TEACHING.;positive psychology  mindfulness  gratitude  habit  exercise  savoring  happiness  meditation  psychologies  kindness personal-development personal-development;2
Information & Digital Literacy for University Success;The University of Sydney;Beginner;This Specialization is aimed at preparing students for undergraduate study in an English-speaking university. The course equips you for full participation and engagement with your studies by building awareness and understanding of the core values and expectations of academic culture, and providing you with practical strategies to apply to your studies. In this course, you will learn how to develop your Information & Digital Literacy Skills to help you achieve success in your university studies.  After completing this course, you will be able to:  1.\tAccess and search for information efficiently and effectively using a variety of digital tools.   2.\tCritically evaluate the reliability of sources for an academic context.  3.\tFilter, manage and organize information from a wide variety of sources for use in academic study.  4.\tDemonstrate awareness of ethical issues related to academic integrity surrounding the access and use of information.  5.\tUnderstand how to use digital tools for referencing and attribution in order to avoid plagiarism.  6.\tUnderstand how to disseminate and communicate information in a professional way, including managing digital identity and building networks for learning and research.;evaluation  information source  sources  Writing  brainstorming  Critical Thinking  organizing (management)  web content  Communication  digital identity social-sciences education;0
