Difficulty_Level;Skills;University;category_id
Intermediate;sales  proofreading  writing  email  deep learning  english language  business writing  business communication  interview  email writing languagelearning learningenglish;University of Washington;2
Beginner;social network  process  planning  friendship  takeover  business process  relative change and difference  design thinking  social work  brainstorming personaldevelopment personaldevelopment;Laureate Education;0
Advanced;modeling  purchasing  web  c process control  microprocessor  internet of things  simulink  evaluation  systems modeling language  market economics computerscience computersecurityandnetworks;EIT Digital;1
Advanced;solidworks  autodesk  industrial design  manufacturing processes  ansys  process  mechanical engineering  computeraided design  manufacturing process management  3d printing physicalscienceandengineering mechanicalengineering;Autodesk;1
Intermediate;therapy  medical practice  behavior therapy  medical statistics  medicine  good clinical practice  surgery  hormone replacement therapy  hormone  womens health lifesciences patientcare;Icahn School of Medicine at Mount Sinai;2
Intermediate;pricing  brand  channel management  target market  leadership and management  customer experience  credit cards  market economics  value proposition  marketing business businessstrategy;IESE Business School;2
Advanced;leadership and management  six sigma  hypothesis  process  lean six sigma  project  statistical hypothesis testing  process improvement  hypothesis testing  trigonometric integral business businessessentials;University System of Georgia;1
Advanced;application programming interfaces  web  front and back ends  mongodb  authentication  nodejs  representational state transfer  oauth  https  serverside computerscience mobileandwebdevelopment;The Hong Kong University of Science and Technology;1
Advanced;python programming  databases  ipython  language  syntax  semantics  computer programming  python libraries  problem solving  python syntax and semantics computerscience softwaredevelopment;Wesleyan University;1
Intermediate;process  belief  stewardship  leadership and management  gift  strategy  prospecting  fundraising  likelihood function  acceptance business businessstrategy;"""University of California, Davis""";2
Intermediate; as the first module contain a review of investment fundamentals and regression analysis to get everyone up to speed  also the course contains several innovative features including creative outofthestudio introductions followed by quickhitting module in 60 countdowns that highlight what will be covered in each module four faculty focus interview episodes with leading professors in finance and a summary of each module done with the help of animations  this course is part of the imba offered by the university of illinois a flexible fullyaccredited online mba at an incredibly competitive price for more information please see the resource page in this course and onlinembaillinoisedu;University of Illinois at Urbana-Champaign;2
Beginner;database design  relational database  databases  ordered pair  data model  test data  database management systems  relational model  graphical model  unique key informationtechnology datamanagement;Coursera Project Network;0
Intermediate;banking  inflation  microeconomics  financial markets  crisis  economics  marginal propensity to consume  environmental economics  economy  behavioral economics socialsciences economics;Erasmus University Rotterdam;2
Beginner;energy  solar systems  astronomy  physics  observation  verse protocol  theory of relativity  astrobiology  history  observational astronomy physicalscienceandengineering physicsandastronomy;University of Arizona;0
Intermediate;neurological disorders  eulers totient function  hearing  anatomy  neuroscience  human learning  neurobiology  memory  neurology  neuron software lifesciences basicscience;The University of Chicago;2
Intermediate;regression analysis  causal inference  general linear model  regression  measurement  impact evaluation  causality  difference in differences  inference  instrumental variable socialsciences governanceandsociety;University of Copenhagen;2
Advanced;interpersonal communication  crisis management  communication planning  facilitation  crisis communication  communication  leadership  crisis  interpersonal relationships  personal branding business leadershipandmanagement;Rice University;1
Advanced;corporate bond  rate of return  finance  maturity finance  cash flow  expected return  credit risk  cost  real options valuation  principle business finance;Moscow Institute of Physics and Technology;1
Beginner;continuing medical education  dentistry  hpv vaccine  oral cancer  cancer  head and neck cancer  medical education  vaccines  infection  risk factor lifesciences basicscience;Icahn School of Medicine at Mount Sinai;0
Beginner;prison  latex  war  childhood  interview  military  russian  population  bear  history artsandhumanities history;National Research University Higher School of Economics;0
Advanced;cryptographic algorithms  web hosting service  software engineering  security  github  web development  software system  encryption  software testing  cryptography computerscience computersecurityandnetworks;"""University of Maryland, College Park""";1
Beginner;analysis  trigonometric integral  general statistics  data analysis  process  normal distribution  binomial distribution  studentized residual  six sigma  causality business businessessentials;University System of Georgia;0
Beginner;page layout  decipherment  history of the book  process  middle age  primary source  art history  inquiry  page design  history artsandhumanities history;University of Colorado System;0
Beginner;lean startup  leadership and management  product management  strategy  product strategy  minimum viable product  planning  agile management  product planning  productmarket fit business leadershipandmanagement;University of Virginia;0
Beginner;java software platform  algorithms  data structures  hashing  trie  computer programming  binary tree  hash table  java programming  linked list computerscience algorithms;University of California San Diego;0
Beginner;project management  marketing  project management certification  social media marketing  digital marketing  social media  marketing strategy  media market  leadership and management  sales business marketing;Facebook;0
Intermediate;leadership and management  human resources  human capital  performance appraisal  training  evaluation  organizational culture  recruitment  analytics  training and development datascience dataanalysis;Moscow Institute of Physics and Technology;2
Beginner;000 digital books while giving teachers the ability to assign books to students and view student progress epic is an invaluable tool for the techconnected classroom whether used in the classroom for virtual learning or at home epic allows all children to have access to quality books audiobooks and videos to encourage their love of reading if you are looking for ways to motivate young readers or ensure that access to books is never a problem for growing readers join me as we learn how to use epic to help all students succeed  you will need a free epic account for this project;Coursera Project Network;0
Beginner;software  computer programming  language  portable document format  data analysis  probability density function  general statistics  sql  analysis  sas software datascience dataanalysis;SAS;0
Intermediate;electronics  electronic music  audio engineering  sound design  music  porting  sound  analysis  guitar  acoustics physicalscienceandengineering electricalengineering;University of Rochester;2
Advanced;english language  human learning  strategy  lesson plan  listening  teaching  language  speech  thought  planning languagelearning learningenglish;Arizona State University;1
Advanced;software  computational model  logic gate  software as a service  host system  cloud computing  system v  iteration  cloud applications  mathematical optimization computerscience designandproduct;Politecnico di Milano;1
Beginner;diffusion of innovations  market economics  global  topdown and bottomup design  supply and demand  systems thinking  psychology  innovation  problem solving  coping with business leadershipandmanagement;Macquarie University;0
Advanced;uv mapping  polygon mesh  map  baking  box modeling  3d modeling  highresolution scheme  modeling  subdivision surface  low poly artsandhumanities musicandart;Michigan State University;1
Intermediate;listening  systems thinking  thought  disposition  critical thinking  warrants  point and click  problem solving  hardware random number generator  advertising socialsciences education;The University of Sydney;2
Beginner;evolution  sociology  history  evolutionary biology  religion  biology  philosophy  philosophical analysis  art history  thought artsandhumanities philosophy;The University of Edinburgh;0
Beginner;child welfare  justice  psychologies  child  international law  child protection  childrens rights  child psychology  law  humanitarian socialsciences law;University of Geneva;0
Beginner;authentication  identity management  ssl programming language  subnetwork  google cloud platform  security  cloud computing  cloud computing security  cloud platforms  secure sockets layer ssl informationtechnology cloudcomputing;Google Cloud;0
Intermediate;tracking  sources  software engineering  cloning  codebase  leadership and management  version control  control management  test automation  source code computerscience softwaredevelopment;Coursera Project Network;2
Intermediate;fluid mechanics  chemistry  statistical mechanics  mechanical engineering  integral  studentized residual  chemical engineering  physics  molecular dynamics  energy physicalscienceandengineering mechanicalengineering;University of Colorado Boulder;2
Beginner;data dictionary  health data  medical terminology  ontology information science  icd10  databases  electronic human resources  big data  relational database  analytics lifesciences healthinformatics;"""University of California, Davis""";0
Beginner;communication  foreign policy  dialogue  negotiation  public diplomacy  policy analysis  history  diplomatics  international relations  analysis socialsciences governanceandsociety;University of London;0
Beginner;robotics  planning  motion planning  finitestate machine  shortest path problem  mathematical optimization  reinforcement learning  autonomous cars  path variable  planner programming language computerscience softwaredevelopment;University of Toronto;0
Beginner;face recognition  long shortterm memory  python programming  machine learning  deep learning  flask  compiler construction  artificial neural networks  natural language processing  software engineering datascience machinelearning;Coursera Project Network;0
Advanced;praise  essay writing  audience  writing  speech writing  public speaking  storytelling  bit  speech  voice analysis personaldevelopment personaldevelopment;University of Washington;1
Beginner;neuroimaging  analysis  general linear model  general statistics  fmri  principle  modeling  statistical analysis  radiology  data acquisition datascience dataanalysis;Johns Hopkins University;0
Beginner;algorithms  candidate solution  project  backtracking  solver  python programming  ideas  machine learning  recursion  discard protocol computerscience softwaredevelopment;Coursera Project Network;0
Advanced;risk  leadership and management  software engineering  planning  project  risk management  software  agile software development  estimation  agile management computerscience softwaredevelopment;University of Alberta;1
Intermediate;acceptance  thought  history  poetry writing  drama  music  piano  art history  guitar  art artsandhumanities musicandart;Emory University;2
Beginner;project  modeling  data visualization  linearity  scikitlearn  measurement  interaction statistics  regression analysis  regression  linear regression datascience machinelearning;Coursera Project Network;0
Advanced;internet  computer programming  internet of things  python programming  electrical engineering  specification technical standard  raspberry pi  project  arduino  electronics physicalscienceandengineering electricalengineering;"""University of California, Irvine""";1
Advanced;focal hp41  order of approximation  approximation  system u  optics algorithm  prism surveillance program  beam robotics  physics  mirror  curvature physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Beginner;curiosity  history  middle east  golden age  linguistics  composite artifact colors  poetry writing  skepticism  conquesting  culture artsandhumanities history;University of Colorado System;0
Beginner;algorithms  pandas  classification algorithms  python programming  statistical classification  machine learning  test set  hindley milner type system  numpy  support vector machine datascience machinelearning;Coursera Project Network;0
Beginner;bar chart  microsoft excel  chisquared distribution  studentized residual  project  eulers totient function  machine learning  ggplot2  ios development  randomness datascience dataanalysis;Coursera Project Network;0
Intermediate;web application  web development  computer programming  mobile development  nodejs  parameter computer programming  web  javascript  css  front and back ends computerscience mobileandwebdevelopment;Coursera Project Network;2
Beginner;nodejs  databases  application development  linux on embedded systems  model view controller mvc  mongodb  stack abstract data type  cloud computing  embedded databases  computer programming computerscience softwaredevelopment;Coursera Project Network;0
Beginner;project  python libraries  web  python programming  html  web development  application design  computer programming  machine learning  web application datascience machinelearning;Coursera Project Network;0
Advanced;approximation error  arrays  c dynamic memory allocation  lesson plan  resource  code segment  writing  type i and type ii errors  iteration  compiler socialsciences education;University of California San Diego;1
Advanced;infrastructure security  critical infrastructure protection  cloud computing security  mobile security  payment card industry data security standard  cloud computing  security awareness  blockchain  internet of things  security computerscience computersecurityandnetworks;New York University;1
Beginner;microsoft excel  eulers totient function  data analysis  concatenation  pivot chart  databases  pivot table  analysis  chart  consolization business businessessentials;Macquarie University;0
Beginner;docker software  enabling  scrum software development  unix shells  microsoft excel  software  project  software engineering  download  english language computerscience softwaredevelopment;Coursera Project Network;0
Advanced;bioremediation  process  geology  chemical engineering  water supply  flow network  case study  flux  chemistry  groundwater remediation physicalscienceandengineering environmentalscienceandsustainability;Rice University;1
Beginner;ordered pair  entrepreneurship  public administration  business administration  leadership and management  measurement  influencing  strategy  strategic management  business strategy business entrepreneurship;University of New Mexico;0
Intermediate;data integrity  health human resources  health data analysis  clinical information systems  decision support system  evidencebased practice  digital health  health data  analytics  health system lifesciences healthinformatics;The University of Sydney;2
Beginner;project  documents  leadership  project charter  rowing  lean six sigma  organizing management  project management  six sigma  software business leadershipandmanagement;Coursera Project Network;0
Beginner;teaching  language  strategy  teaching method  language acquisition  principle  english language  education  human learning  mergers  acquisitions socialsciences education;Arizona State University;0
Beginner;word embedding  natural language  sentiment analysis  analysis  vector spaces  translation  natural language processing  naive bayes classifier  language  bayes classifier datascience machinelearning;DeepLearning.AI;0
Beginner;mobile development  html  php  web development  syntax  computer programming  javascript  text editors  project  externality computerscience mobileandwebdevelopment;Coursera Project Network;0
Intermediate;freezing  energy budget  carbon cycle  nutrient cycle  climate change  nutrients  energy  ecosystems  chemistry  ecosystem physicalscienceandengineering researchmethods;University of Colorado Boulder;2
Beginner;change management  data analysis  problem solving methods  chart  group decisionmaking  decision making  leadership and management  problem solving  analysis  decision analysis business businessessentials;"""University of California, Irvine""";0
Intermediate;audit  risk based internal audit  auditors report  analysis  internal control  management assertions  strategic analysis  sample size determination  sampling statistics  risk assessment business businessessentials;University of Illinois at Urbana-Champaign;2
Advanced;systems architecture  cloud computing  google cloud platform  tensorflow  deep learning  cloud platforms  machine learning  matrices  artificial neural networks  recommender systems datascience machinelearning;Google Cloud;1
Beginner;disasters  noncommunicable disease  emergency  humanitarian  crisis  disease  risk factor  hamper  risk factors  risk lifesciences publichealth;University of Copenhagen;0
Advanced;file shortcut  loss function  chisquared distribution  eulers totient function  keras  vector spaces  oneshot learning  machine learning  training  tensorflow datascience machinelearning;Coursera Project Network;1
Intermediate;observational error  selection bias  epidemiology  clinical study design  confounding  causality  causal inference  interaction statistics  risk factors  bias lifesciences publichealth;Imperial College London;2
Advanced;devops  use error  specification technical standard  it service management  user experience  type i and type ii errors  safety engineering  site reliability engineering  reliability engineering  risk informationtechnology cloudcomputing;Google Cloud;1
Beginner;affordance  experience  education  music  electronics  culture  digital audio workstation  workstations  pedagogy  numbers spreadsheet artsandhumanities musicandart;The University of Sydney;0
Advanced;test case  method computer programming  approximation error  sorting  market segmentation  numbers spreadsheet  code segment  evaluation  resource  arrays socialsciences education;University of California San Diego;1
Beginner;career  value proposition  coaching  proposition  customer value proposition  impact assessment  entrepreneurship  loyalty program  it service management  benefits business businessstrategy;Northeastern University;0
Advanced;accounting  data structures  histogram  array data type  numpy  matplotlib  scikitlearn  studentized residual  probability mass function  random variable datascience dataanalysis;University of Illinois at Urbana-Champaign;1
Advanced;pedagogy  english grammar  media literacy  human communication  english language  resource  education  linguistics  instructional design  language socialsciences education;University of Illinois at Urbana-Champaign;1
Beginner;sports  crisis  marketing  press release  marketing strategy  communication  strategy  leadership and management  loyalty program  sport communication business marketing;Northwestern University;0
Intermediate;conflict resolution  leadership and management  office administration  active listening  communication  employee relations  sociology  psychology  interpersonal communication  conflict management business businessessentials;"""University of California, Irvine""";2
Intermediate;motivation  principles of learning  lecture  student engagement  conceptual change  behaviorism  failure rate  biology education  teaching  education personaldevelopment personaldevelopment;University of Zurich;2
Beginner;tree structure  lookup table  trie  data structures  tree traversal  python programming  recursive function  eulers totient function  ordered pair  recursion computerscience softwaredevelopment;Coursera Project Network;0
Beginner;credit cards  market economics  personal advertisement  leadership and management  money management  insurance  stock  credit  entrepreneurship  finance business finance;"""University of California, Irvine""";0
Advanced;leadership  mentorship  leadership development  informatics  experience  research and development  leadership style  nursing  nursing informatics  collaboration business leadershipandmanagement;University of Minnesota;1
Beginner;child  language  bilingual  linguistics  sign language  neuropsychology  neurolinguistics  child development  language development  neuroscience lifesciences psychology;University of Houston;0
Beginner;business law  criminal justice  disease surveillance  medical law  legal support  justice  law  contact tracing  labour law  authority socialsciences law;Northwestern University;0
Beginner;customer satisfaction  energy  leadership and management  renewable energy  energy efficiency  electrical engineering  generation  utility  microgrid  smart grid physicalscienceandengineering environmentalscienceandsustainability;University of Colorado System;0
Beginner;process  a time  project  accounting  parenting  group instruction  project mine  choice  teaching  utility socialsciences education;Coursera Project Network;0
Beginner;biostatistics  odds  odds ratio  summary statistics  estimator  general statistics  relative risk  kaplan meier estimator  analysis  risk lifesciences publichealth;Johns Hopkins University;0
Beginner;mathematical optimization  gradient  artificial neural networks  natural language  machine learning  recurrent neural network  statistical classification  tensorflow  natural language processing  deep learning datascience machinelearning;Coursera Project Network;0
Beginner;ï½  aka industry 40 and features a culminating project involving creation of a roadmap to achieve a selfestablished dmdrelated professional goal  to learn more about the digital manufacturing and design technology specialization please watch the overview video by copying and pasting the following link into your web browser httpsyoutubewetk1o9cca;The State University of New York;0
Advanced;data analysis  machine learning  human learning  analysis  natural language processing  general statistics  language  natural language  r programming  computer programming datascience dataanalysis;Johns Hopkins University;1
Beginner;strategy  foreign exchange market  trading  algorithmics  stock  trading strategy  valuation of options  algorithmic trading  accrual  stock market business finance;Indian School of Business;0
Beginner;machine learning  health  user interface  writing  project  behavior  video game development  display devices  properties  java annotation computerscience softwaredevelopment;Coursera Project Network;0
Advanced;arcgis  geographic information system  analysis  spatial analysis  spatial data analysis  data analysis  general statistics  data management  map  leadership and management physicalscienceandengineering environmentalscienceandsustainability;"""University of California, Davis""";1
Beginner;sql  html5  mysql  database management systems  database design  relational database  table database  accuracy and precision  databases  data retrieval informationtechnology datamanagement;Coursera Project Network;0
Advanced;global  proactivity  corporate social responsibility  corporate bond  social entrepreneurship  organizing management  sustainable business  hierarchical organization  business strategy  sustainability business businessstrategy;Macquarie University;1
Advanced;ï½ in which individuals try to do their best against others game theory provides a general framework to describe and analyze how individuals behave in such ï½strategicï½ situations  this course focuses on the key concepts in game theory and attempts to outline the informal basic ideas that are often hidden behind mathematical definitions game theory has been applied to a number of disciplines including economics political science psychology sociology biology and computer science therefore a warm welcome is extended to audiences from all fields who are interested in what game theory is all about;The University of Tokyo;1
Beginner;sustainable energy  food security  food engineering  agriculture  food technology  sustainability  food science  security  nutrition  food processing physicalscienceandengineering environmentalscienceandsustainability;University of Copenhagen;0
Beginner;principal agent problem  payment systems  incentive  market economics  health insurance  health system  health care  competition law  health care reform  consumer choice lifesciences healthcaremanagement;Erasmus University Rotterdam;0
Beginner;computer networking  subnetwork  benefits  troubleshooting  network topology  project  topology  materials  project mine  networking hardware informationtechnology networking;Coursera Project Network;0
Intermediate;marketing communications  promotional mix  pricing  communication  marketing  channel management  marketing strategy  marketing mix  strategy  trade marketing business marketing;IE Business School;2
Advanced;user interface design  computer programming  full cycle  mobile development  ios development  language  software engineering  swift programming  software development kits  software computerscience mobileandwebdevelopment;University of Toronto;1
Beginner;active listening  emotional intelligence  interpersonal conflict  counseling  leadership and management  strategy  communication  leadership  customer relationship management  coaching business leadershipandmanagement;Rice University;0
Beginner;line fitting  r programming  project  machine learning  regression  test set  linearity  simple linear regression  linear regression  salary datascience dataanalysis;Coursera Project Network;0
Beginner;accident  service robots  spot welding  welding  collaboration  robotics  safety  chemical engineering  measurement  occupational safety and health administration physicalscienceandengineering mechanicalengineering;The State University of New York;0
Advanced;specification technical standard  iteration  code segment  test case  modulo operation  modeling  market segmentation  for loop  boolean expression  method computer programming socialsciences education;University of California San Diego;1
Advanced;analytics  tableau software  business intelligence  statistical dispersion  software  demand forecasting  general statistics  data analysis  measurement  analysis business businessessentials;Macquarie University;1
Intermediate;traffic management  thirdparty software component  application programming interfaces  representational state transfer  extensibility  out of the box feature  debugging  product strategy  analytics  soap protocol computerscience softwaredevelopment;Google Cloud;2
Advanced;engineering leadership  communication  presentation  public speaking  leadership  strategy  strategic communication  audience  elevator pitch  oral communication business leadershipandmanagement;Rice University;1
Beginner;statistical mechanics  general statistics  quantum mechanics  tailored access operations  chemistry  measurement  molecular dynamics  energy  c dynamic memory allocation  energy level physicalscienceandengineering chemistry;University of Minnesota;0
Advanced;ideas  user experience  human computer interaction  thought  map  experience  interview  interaction design  persona user experience  user research computerscience designandproduct;University of California San Diego;1
Intermediate;predictive analytics  analytics  market economics  stochastic matrix  market analysis  customer lifetime value  marketing  market segmentation  data analysis  analysis business marketing;ESSEC Business School;2
Advanced;negotiation  winwin game  writing  business communication  finance  leadership  language  communication  english language  economics languagelearning learningenglish;Arizona State University;1
Intermediate;web  javascript  representational state transfer  redux  web development  javascript library  json  bootstrap frontend framework  react web framework  frontend web development computerscience mobileandwebdevelopment;The Hong Kong University of Science and Technology;2
Advanced;mergers  acquisitions  corporate governance  leadership  corporate social responsibility  strategic leadership  strategy  corporate bond  leadership and management  strategic management  business strategy business businessstrategy;University of Illinois at Urbana-Champaign;1
Advanced;culture  personality  authority  crosscultural communication  nonverbal communication  negotiation  conflict resolution  cultural intelligence  communication  middle east business leadershipandmanagement;ESSEC Business School;1
Advanced;petersons algorithm  asset allocation  crossvalidation statistics  loss function  economic data  machine learning  process  unsupervised learning  leadership and management  portfolio construction business finance;EDHEC Business School;1
Beginner;zoology  biology  anatomy  animal  phylogenetics  fossil  evolution  tetrapod  fish  paleontology lifesciences basicscience;University of Alberta;0
Intermediate;smoothing  college  ideas  english language  critical thinking  language learning  elaboration  strategy  listening  ageing languagelearning learningenglish;"""University of California, Irvine""";2
Advanced;leadership and management  performance measurement  operations management  analysis  accounting  facilitation  management accounting  measurement  performance  variance business finance;University of Illinois at Urbana-Champaign;1
Intermediate;saving  public health  parenting  awareness  biology  nutrition  pride  human learning  public health law  health lifesciences publichealth;Johns Hopkins University;2
Advanced;analytics  data analysis  physics  exploratory data analysis  business analytics  python programming  quality control  data science  sql  business analysis datascience dataanalysis;IBM;1
Beginner;swot analysis  project  career  peer review  accounting  documents  business writing  evaluation  writing  personal advertisement business businessessentials;"""University of California, Irvine""";0
Beginner;law  emotional intelligence  takeover  design thinking  strategy  labour law  industrial and organizational psychology  interior design  employment  instructional design business businessstrategy;UNSW Sydney (The University of New South Wales);0
Advanced;algorithms  approximation  integer programming  combinatorial optimization  linear programming relaxation  knapsack problem  randomized rounding  dynamic programming  linear programming  approximation algorithm computerscience algorithms;École normale supérieure;1
Beginner;natural language processing  ios development  history  speech recognition  machine learning  deep learning  image processing  use case  training  test set datascience machinelearning;Coursera Project Network;0
Advanced;materials  academic writing  sources  english language  elevator pitch  writing  teaching  college  human learning  negotiation languagelearning learningenglish;University of Michigan;1
Advanced;leadership  employee relations  conflict resolution  intercultural communication  leadership and management  therapy  employment  peer review  illustration  project personaldevelopment personaldevelopment;"""University of California, Irvine""";1
Beginner;ï½ is the first course in the upcoming sustainability and development mastertrack certificate program fall 2020 but you can also take this course as a standalone learning opportunity   sustainability and development pose unprecedented challenges as human societies grow and seek to ensure future wellbeing and prosperity in this course weï½ll focus on addressing the twin challenges of sustainability and development with actionable knowledge for innovating solutions to the worldï½s most pressing problems like climate change poverty and inequality and biodiversity loss and ecosystem degradation rather than sustainability being a qualifier for development eg sustainable development we conceptualize sustainability and development as coequal fields of inquiry and action that seek to build bridges between the natural social and applied sciences and the humanities when sustainability and development are placed on an equal footing it requires us to think more explicitly about the tradeoffs cobenefits and synergies between them which we will be exploring in depth in each week  throughout the course you will be introduced to the theoretical currents in sustainability and development and will garner an indepth understanding of the united nationsï½ 17 sustainable development goals sdgs we will also consider the methods and skills necessary for designing innovative solutions to sustainability and development problems through the emerging field of sustainability science  in this course we will explore three of the most pressing challenges undergirding the  sustainable development goals sdgs including climate change poverty and inequality and ecosystem degradation and biodiversity loss with case studies to guide and challenge our thinking in the final week of the course we will discuss the tradeoffs cobenefits and synergies between these challenges especially as they relate to designing innovative solutions for achieving  our sustainability and development goals  by the end of this course you will be able to 1 understand and explain the worldï½s most pressing problems with a specific focus on poverty  inequality ecosystem degradation and biodiversity loss and climate change 2 critically analyze the sustainable development goals sdgs and their relationship to the worldï½s most pressing problems 3 use frameworks and evidence necessary to develop solutions 4 assess relevant solutions that would help realize the sdgs and at the same time solve the pressing problems  5 apply skills learned to implement solutions;University of Michigan;0
Beginner;wireless  wireless security  authentication  encryption  information security  network security  cryptography  security  system security  network monitoring informationtechnology security;Google;0
Intermediate;wall  art history  history  architectural design  opus audio format  bathing  autoregressive conditional heteroskedasticity  architectural history  architecture  masonry artsandhumanities history;Yale University;2
Beginner;c++  void  arrays  personally identifiable information  software engineering  instance variable  personal advertisement  method computer programming  process  project computerscience softwaredevelopment;Coursera Project Network;0
Intermediate;resource management  entrepreneurship  design thinking  innovation  thought  social work  social entrepreneurship  leadership and management  systems thinking  resource business entrepreneurship;University of Cape Town;2
Beginner;parent  properties  writing  language  computer languages  project  particle system  table of keyboard shortcuts  average  software engineering computerscience softwaredevelopment;Coursera Project Network;0
Beginner;content management system  wordpress  web  mobile development  leadership and management  software engineering  web development  web design  c++  web page computerscience mobileandwebdevelopment;Coursera Project Network;0
Beginner;algebra  sigmaalgebra  eigenvalues and eigenvectors  matrices  linearity  python programming  linear algebra  pagerank  vector projection  transformation matrix datascience machinelearning;Imperial College London;0
Beginner;opencv  image processing  computer vision  machine learning  tesseract software  kmeans clustering  computer programming  object detection  python programming  upload datascience machinelearning;IBM;0
Advanced;game theory  valuation of options  options strategies  real options valuation  business valuation  valuation finance  strategy  finance  real options  mergers  acquisitions business finance;Erasmus University Rotterdam;1
Beginner;mindfulness  mind control  korean language  happiness  meditation  philosophy of mind  mindfulness psychology  guided meditation  selfreflection  thought artsandhumanities philosophy;Korea Advanced Institute of Science and Technology(KAIST);0
Intermediate;variational bayesian methods  inference  chaining  mathematical optimization  bayesian inference  gaussian process  markov chain monte carlo  bayesian optimization  bayesian  markov chain datascience machinelearning;National Research University Higher School of Economics;2
Advanced;community engagement  recruitment  clinical trials  oral communication  consent  health literacy  clinical research  community health  clinical trial  education socialsciences education;Vanderbilt University;1
Beginner;language acquisition  sign language  deaf culture  american sign language  culture  deafness  deaf education  audism  communication  audiology languagelearning learningenglish;University of Houston;0
Intermediate;audio production  sound  guitar  electronic music  electronics  music  audio editing  microphone  sound design  ableton artsandhumanities musicandart;Berklee College of Music;2
Beginner;react web framework  download  ip address  project mine  english language  web  project  nodejs  upload  javascript informationtechnology cloudcomputing;Coursera Project Network;0
Advanced;cisco  cryptography  singleroot inputoutput virtualization  io virtualization  data plane development kit  packet processing  network function virtualization  intel 8259  packaging  cloud computing informationtechnology networking;Intel;1
Advanced;electronic circuit simulation  switches  power electronics  modeling and simulation  matlab  simulation  average  electrical engineering  eulers totient function  modeling physicalscienceandengineering electricalengineering;University of Colorado Boulder;1
Beginner;leadership and management  lean methods  lean six sigma  process improvement  kanban  process  six sigma  mapping  principle  trigonometric integral business businessessentials;University System of Georgia;0
Beginner;investment decisions  capital budgeting  project  payback period  decision tree  real options valuation  decision rule  real options  investment  relative change and difference business finance;Yonsei University;0
Beginner;communication  negotiation  public speaking  presentation  strategy  virtual team  confidence  speech  strategic communication  leadership and management business leadershipandmanagement;University of Toronto;0
Intermediate;bit  materials  verilog  run time program lifecycle phase  digital design  outoforder execution  systems design  embedded c  program lifecycle phase  hardware design computerscience designandproduct;Politecnico di Milano;2
Beginner;machine learning algorithms  human learning  random forest  modeling  randomness  decision tree  forest  machine learning  predictive modelling  algorithms datascience machinelearning;Johns Hopkins University;0
Advanced;javascript  logic  modulo operation  system v  boolean algebra  modal calculus  fixedpoint combinator  c dynamic memory allocation  deadlock  transition system computerscience softwaredevelopment;EIT Digital;1
Intermediate;evaluation  emotional wellbeing  early childhood  emotional intelligence  process  child  path variable  principle  emotion  teaching socialsciences education;University of Colorado Boulder;2
Beginner;funds  law  business law  instrumentation computer programming  civic engagement  competition law  monetary policy  average  level playing field  trading socialsciences governanceandsociety;HEC Paris;0
Intermediate;linguistics  analysis  israel  evaluation  autoregressive conditional heteroskedasticity  art  primary source  culture  ordered pair  history artsandhumanities history;Yeshiva University;2
Intermediate;wall  microbiology  determinants  occupational safety and health administration  prevention  influencing  public health  population  determinants of health  biomedicine lifesciences publichealth;Imperial College London;2
Advanced;health care  medical history  selfawareness  military  traumatic stress  empathy  determinants of health  posttraumatic stress disorder  relative change and difference  patient lifesciences patientcare;University of Michigan;1
Advanced;data visualization  jpeg  dict  python programming  data analysis  web scraping  analysis  nest  computer programming  recursion computerscience softwaredevelopment;Rice University;1
Intermediate;running  probability plot  factorial  multifactor authentication  experimental design  experiment  factorial experiment  probability  fractional factorial design  numbers spreadsheet datascience probabilityandstatistics;Arizona State University;2
Beginner;interview  analysis  user experience  wall  qualitative research  needs assessment  quantitative research  user research  ab testing  research methods computerscience designandproduct;University of Michigan;0
Beginner;accounting  mathematics  student engagement  child  strategy  factorial  project mine  home  home directory  project socialsciences education;Coursera Project Network;0
Advanced;business architecture  leadership and management  archimate  the open group architecture framework  enterprise architect  business process  enterprise architecture  software architecture  business logic  architecture business businessessentials;Peter the Great St. Petersburg Polytechnic University;1
Intermediate;behavioral economics  cognitive bias  behavioral finance  behavioral decision  finance  investment  bias  psychologies  investment decisions  economics business finance;Duke University;2
Intermediate;inference  medical imaging  pattern recognition  analysis  principle  experimental design  path coefficient  experiment  fmri  neuroimaging datascience dataanalysis;Johns Hopkins University;2
Advanced;user experience  jquery  html  responsive web design  web design  data structures  javascript  javascript templating  css  web computerscience mobileandwebdevelopment;University of London;1
Intermediate;culture  sustainability  industrial democracy  global  corporate governance  corporate bond  leadership  leadership and management  case study  corporate social responsibility business leadershipandmanagement;Copenhagen Business School;2
Intermediate;sports  interview  strategy  market economics  cross  business marketing  global marketing  innovation  marketing  viral marketing business marketing;Yonsei University;2
Advanced;linguistics  perception  consent  history  reason  thought  interpretation  education  psychology  critical thinking artsandhumanities philosophy;The University of North Carolina at Chapel Hill;1
Intermediate;anatomy  speech language pathology  sign language  communication disorder  music  music therapy  speech and language pathology  medicine  performance  human voice lifesciences patientcare;Icahn School of Medicine at Mount Sinai;2
Beginner;rankings  mobile app  marketing  strategy  mathematical optimization  digital marketing  search engine optimization  web  web marketing  analytics business marketing;"""University of California, Davis""";0
